subj,run,set,block,cond,rules,af,mean_accu,median_rt,block1_correct,block2_correct,members,F1Ans,F2Ans,F3Ans,LatentF,ExpectedB1F,B1_t0,B1_t1,B1_t2,B1_t3,B1_t4,B1_t5,B1_t6,B1_t7,B1_t8,B1_t9,B1_t10,B1_t11,B1_t12,B1_t13,B2_t0,B2_t1,B2_t2,B2_t3,B2_t4,B2_t5,B2_t6,B2_t7,B2_t8,B2_t9,B2_t10,B2_t11,B2_t12,B2_t13,B2_t14,B2_t15,group_n
sub-CGAY246,4,7,1,Destroy,4R,0,0.9285714285714286,0.8068824500078335,1.0,1.0,"[sub-CGAY246, 4, 7, 1, Destroy, 4R, 0, 0.928571, 0.806882, 1.0, 1.0]",1,0,1,1_0_1,0_1_0,B1_t0_1,B1_t1_1,B1_t2_1,B1_t3_0,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY246,4,7,2,Destroy,4R,0,1.0,0.7391233999514952,1.0,1.0,"[sub-CGAY246, 4, 7, 2, Destroy, 4R, 0, 1.000000, 0.739123, 1.0, 1.0]",1,0,1,1_0_1,0_1_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY246,5,8,1,Preserve,1R,0,0.9285714285714286,0.7800184999359772,1.0,1.0,"[sub-CGAY246, 5, 8, 1, Preserve, 1R, 0, 0.928571, 0.780018, 1.0, 1.0]",0,1,1,0_1_1,0_1_1,B1_t0_0,B1_t1_1,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY246,5,8,2,Preserve,1R,0,1.0,0.6794970500050113,1.0,1.0,"[sub-CGAY246, 5, 8, 2, Preserve, 1R, 0, 1.000000, 0.679497, 1.0, 1.0]",0,1,1,0_1_1,0_1_1,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY246,5,9,1,Expand,2R,0,0.9285714285714286,0.8411767500219867,1.0,1.0,"[sub-CGAY246, 5, 9, 1, Expand, 2R, 0, 0.928571, 0.841177, 1.0, 1.0]",1,1,0,1_1_0,0_1_0,B1_t0_0,B1_t1_1,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY246,5,9,2,Expand,2R,0,0.9375,0.621727850055322,1.0,1.0,"[sub-CGAY246, 5, 9, 2, Expand, 2R, 0, 0.937500, 0.621728, 1.0, 1.0]",1,1,0,1_1_0,0_1_0,,,,,,,,,,,,,,,B2_t0_0,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY247,3,5,1,Preserve,1R,0,1.0,1.5368931000120938,1.0,1.0,"[sub-CGAY247, 3, 5, 1, Preserve, 1R, 0, 1.000000, 1.536893, 1.0, 1.0]",1,0,0,1_0_0,1_0_0,B1_t0_1,B1_t1_1,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY247,3,5,2,Preserve,1R,0,0.9375,1.2461177499499172,1.0,1.0,"[sub-CGAY247, 3, 5, 2, Preserve, 1R, 0, 0.937500, 1.246118, 1.0, 1.0]",1,0,0,1_0_0,1_0_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_0,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY247,5,8,1,Preserve,1R,0,0.9285714285714286,1.0548365500289947,1.0,1.0,"[sub-CGAY247, 5, 8, 1, Preserve, 1R, 0, 0.928571, 1.054837, 1.0, 1.0]",0,1,1,0_1_1,0_1_1,B1_t0_1,B1_t1_1,B1_t2_1,B1_t3_0,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY247,5,8,2,Preserve,1R,0,1.0,0.975755900144577,1.0,1.0,"[sub-CGAY247, 5, 8, 2, Preserve, 1R, 0, 1.000000, 0.975756, 1.0, 1.0]",0,1,1,0_1_1,0_1_1,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY247,5,9,1,Expand,2R,0,0.8571428571428571,1.5485121000092477,1.0,1.0,"[sub-CGAY247, 5, 9, 1, Expand, 2R, 0, 0.857143, 1.548512, 1.0, 1.0]",1,1,0,1_1_0,0_1_0,B1_t0_0,B1_t1_0,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
