Category1,Category2,Block,Trial,mean1,mean2,mean_diff,se_diff,t_value,df,p_value,p_fdr,Significance,Direction
AF0,AF3,2,15,1.0,0.9473684210526315,0.052631578947368474,0.03670978065594293,1.4337208778404396,179,0.16004928081560893,0.34366078438749725,,
AF1,AF2,1,0,0.4690265486725664,0.6285714285714286,-0.15954487989886218,0.09534319005032782,-1.6733746774640632,146,0.09966287735777488,0.27286998746724633,,
AF1,AF2,1,1,0.4864864864864865,0.5588235294117647,-0.0723370429252782,0.09870141810305727,-0.7328875746217628,143,0.46676193804021704,0.634546831681825,,
AF1,AF2,1,2,0.7079646017699115,0.8285714285714286,-0.12060682680151713,0.07761223923607045,-1.5539665906903102,146,0.12492265582563879,0.31670532462838,,
AF1,AF2,1,3,0.868421052631579,0.6857142857142857,0.18270676691729326,0.08573061481538799,2.1311729457526156,147,0.0385271706324621,0.1761143541941074,,
AF1,AF2,1,4,0.9734513274336283,0.9428571428571428,0.03059418457648544,0.04260730488886413,0.7180502182967587,146,0.4764931005471694,0.6394291106431531,,
AF1,AF2,1,5,0.9473684210526315,0.9714285714285714,-0.024060150375939893,0.0354623561855471,-0.6784701572013919,147,0.49958508518956635,0.6516327198124778,,
AF1,AF2,1,6,0.9824561403508771,0.9142857142857143,0.06817042606516288,0.04957271008378151,1.375160364441441,147,0.17701161460125533,0.36206921168438594,,
AF1,AF2,1,7,0.9912280701754386,0.9714285714285714,0.01979949874686715,0.029887677786326505,0.6624636041788883,147,0.5114171830358254,0.655372678547852,,
AF1,AF2,1,8,0.9649122807017544,1.0,-0.03508771929824561,0.01730941000735132,-2.0270892701336343,147,0.04500700162738298,0.1761143541941074,,
AF1,AF2,1,9,0.9649122807017544,1.0,-0.03508771929824561,0.01730941000735132,-2.0270892701336343,147,0.04500700162738298,0.1761143541941074,,
AF1,AF2,1,10,1.0,0.9142857142857143,0.08571428571428574,0.04800960288096033,1.7853571071357133,147,0.08312711474128719,0.24567585096663663,,
AF1,AF2,1,11,0.9911504424778761,0.9714285714285714,0.019721871049304673,0.029910553303969897,0.6593616256068081,146,0.5133752648624841,0.655372678547852,,
AF1,AF2,1,12,0.9824561403508771,0.9411764705882353,0.04127966976264186,0.0427809307334937,0.9649081741534788,146,0.3405092588847868,0.5150560218425346,,
AF1,AF2,1,13,0.9912280701754386,1.0,-0.00877192982456143,0.008771929824561406,-1.0000000000000027,147,0.3194470972723914,0.4990380161941621,,
AF1,AF2,2,0,0.7699115044247787,0.5428571428571428,0.22705436156763592,0.09423691512882909,2.4093993448027793,146,0.019731612061181437,0.1145706506778277,,
AF1,AF2,2,1,0.504424778761062,0.45714285714285713,0.047281921618204825,0.09762626498766841,0.48431558478834774,146,0.6300382974458656,0.7662627941909177,,
AF1,AF2,2,2,0.875,0.8529411764705882,0.022058823529411797,0.06918342283564777,0.3188455069911006,144,0.7511382349467524,0.8608998722981965,,
AF1,AF2,2,3,0.956140350877193,0.9142857142857143,0.0418546365914787,0.05173042469102158,0.8090913005541798,147,0.42267573855295926,0.599067975901832,,
AF1,AF2,2,4,0.9298245614035088,0.8571428571428571,0.07268170426065168,0.06464427039530221,1.1243332752647721,147,0.2667780179129358,0.4850509416598833,,
AF1,AF2,2,5,0.9911504424778761,0.8285714285714286,0.16257901390644747,0.06523791640422578,2.4920939059285527,146,0.01754257116539666,0.10888492447487583,,
AF1,AF2,2,6,0.8947368421052632,0.9428571428571428,-0.048120300751879674,0.04917428377988842,-0.9785663776471758,147,0.3310222938617924,0.5049492618230731,,
AF1,AF2,2,7,0.9823008849557522,0.8823529411764706,0.09994794377928162,0.05745323441292089,1.7396399837291654,145,0.09039366891242834,0.258267625464081,,
AF1,AF2,2,8,0.9210526315789473,1.0,-0.07894736842105265,0.025367159007467055,-3.112188022230387,147,0.002352179292130861,0.024905427799032646,*,AF2 > AF1
AF1,AF2,2,9,0.956140350877193,0.9142857142857143,0.0418546365914787,0.05173042469102158,0.8090913005541798,147,0.42267573855295926,0.599067975901832,,
AF1,AF2,2,10,1.0,0.9428571428571428,0.05714285714285716,0.039807459772527774,1.435481125130547,147,0.16028657480362943,0.34366078438749725,,
AF1,AF2,2,11,0.9824561403508771,1.0,-0.01754385964912286,0.012350369073964505,-1.4205129858108145,147,0.15821179435385432,0.34366078438749725,,
AF1,AF2,2,12,0.9649122807017544,1.0,-0.03508771929824561,0.017309410007351325,-2.027089270133634,147,0.045007001627383,0.1761143541941074,,
AF1,AF2,2,13,0.9824561403508771,0.9714285714285714,0.01102756892230572,0.03112648625970146,0.35428248567146453,147,0.7246986324785893,0.8361907297829877,,
AF1,AF2,2,14,0.9736842105263158,1.0,-0.02631578947368418,0.01505837276229829,-1.747585206521858,147,0.0832523343816321,0.24567585096663663,,
AF1,AF2,2,15,0.9912280701754386,1.0,-0.00877192982456143,0.008771929824561406,-1.0000000000000027,147,0.3194470972723914,0.4990380161941621,,
