Category1,Category2,Block,Trial,mean1,mean2,mean_diff,se_diff,t_value,df,p_value,p_fdr,Significance,Direction
2R,4R,2,11,0.8435603393904142,1.099101052291899,-0.2555407129014847,0.05203630777683624,-4.910815617383941,229,1.740554664245931e-06,5.221663992737793e-05,***,4R > 2R
2R,4R,2,12,0.9872660757658958,1.0175029681786396,-0.030236892412743854,0.06132168853097394,-0.4930864289144783,229,0.6224317789102373,0.7469181346922847,,
2R,4R,2,13,0.9680817777951032,0.9755585863350964,-0.007476808539993218,0.04862708498225024,-0.15375810708625426,229,0.8779547516261552,0.929599148780635,,
2R,4R,2,14,0.8633396383889804,1.074785744714201,-0.21144610632522065,0.049010874817358926,-4.314269172161962,229,2.3837917592457304e-05,0.0003775869953797307,***,4R > 2R
2R,4R,2,15,0.8716177444388074,0.9788986363760538,-0.10728089193724644,0.05293206488014478,-2.026765669923607,229,0.043906864001624066,0.11290336457560474,,
1R,4R,1,0,1.4440880444410273,1.5492150107711915,-0.10512696633016416,0.061684165597890646,-1.7042779992432788,227,0.08973515597034523,0.18486183696077282,,
1R,4R,1,1,1.4351352894725264,1.6148609527757634,-0.17972566330323692,0.07260130972461495,-2.4755154415940543,220,0.014118981615112429,0.05082833381440474,†,4R > 1R
1R,4R,1,2,1.36795249193381,1.4038989122214003,-0.03594642028759032,0.07099961561391537,-0.5062903506838861,228,0.6131461613184062,0.7469181346922847,,
1R,4R,1,3,1.3958653181875107,1.3570839198639828,0.038781398323527894,0.072241594115992,0.5368292158844113,228,0.5919330268988172,0.7469181346922847,,
1R,4R,1,4,1.1352188727359884,1.1811586687006306,-0.04593979596464215,0.06527962902649474,-0.7037386187656913,228,0.48232469232807507,0.6590896261111329,,
1R,4R,1,5,1.1190923606078549,1.147205745456042,-0.02811338484818715,0.07040993617313332,-0.3992814988364458,229,0.6900822725631081,0.8172026911931543,,
1R,4R,1,6,1.2055150010000277,1.1073499818236245,0.09816501917640319,0.061880004111122364,1.5863770629381542,229,0.11412288870795237,0.2139804163274107,,
1R,4R,1,7,1.0368593777870772,1.0511477636493791,-0.014288385862301967,0.058213568787667036,-0.24544768788216034,229,0.8063389456149479,0.8959321617943865,,
1R,4R,1,8,1.0562006818140088,1.101502416664244,-0.04530173485023514,0.05523527125394216,-0.8201595433823808,229,0.4129987351344293,0.5899981930491848,,
1R,4R,1,9,1.0924105777626807,0.9982704969808599,0.09414008078182079,0.049047078835254686,1.91938201045632,229,0.056231546578887445,0.13677943762432082,,
1R,4R,1,10,0.9441783970025284,1.0190743394118107,-0.07489594240928232,0.04409757538349167,-1.6984140683009143,229,0.09079106616102142,0.18486183696077282,,
1R,4R,1,11,1.0717870242172378,0.9960815625808668,0.07570546163637104,0.05783494151549969,1.3089917557205806,228,0.19185855161892026,0.3139503571945968,,
1R,4R,1,12,1.0604483272839578,0.9595484015386,0.10089992574535778,0.057066992314801564,1.7680960858907433,228,0.07896909182485,0.1776804566059125,,
1R,4R,1,13,0.9657422464634977,0.9656829946931904,5.925177030730033e-05,0.04280653879889993,0.001384175688337199,229,0.9988968763492456,0.9988968763492456,,
1R,4R,2,0,1.524249021201793,1.5604564646099124,-0.03620744340811943,0.07043254675742756,-0.5140726137991187,227,0.6077696762259421,0.7469181346922847,,
1R,4R,2,1,1.1138673262508065,1.4574647446165903,-0.3435974183657837,0.06866441254066387,-5.004010165561402,227,1.1328432062079102e-06,5.097794427935596e-05,***,4R > 1R
1R,4R,2,2,1.0529045166592492,1.3940453330642169,-0.34114081640496763,0.06671119150110899,-5.113696948424264,224,6.884472945446373e-07,5.097794427935596e-05,***,4R > 1R
1R,4R,2,3,1.06514161313474,1.245425236373821,-0.18028362323908098,0.06459828492509676,-2.7908422560772954,229,0.005708139735240415,0.025686628808581868,*,4R > 1R
1R,4R,2,4,0.9907228798126423,1.1777196809154167,-0.1869968011027744,0.05969893304914474,-3.1323307059581253,228,0.001967339398292974,0.011066284115397979,*,4R > 1R
1R,4R,2,5,1.0131229373947541,1.1693107488459291,-0.156187811451175,0.05824783730806698,-2.681435374589331,228,0.00786932074154256,0.03219267576085593,*,4R > 1R
1R,4R,2,6,0.915716538387001,1.1298676515188968,-0.21415111313189583,0.05400337006236274,-3.965513872274925,229,9.992708684586947e-05,0.0008175852560116593,***,4R > 1R
1R,4R,2,7,0.9933343100706546,1.1194982723098361,-0.12616396223918147,0.05543996858050217,-2.275686034272977,227,0.023812787369762604,0.0739017539061598,†,4R > 1R
1R,4R,2,8,0.9532338070904358,1.0271046575778275,-0.07387085048739173,0.05275027442405295,-1.400387984592328,229,0.16276582654645805,0.27639479979587217,,
1R,4R,2,9,0.8476368060725341,0.9988137530274068,-0.15117694695487272,0.045626215709442745,-3.313379043258793,229,0.0010776603545733622,0.0074607255316617395,**,4R > 1R
1R,4R,2,10,1.0093142141484859,1.0726092249906183,-0.0632950108421324,0.058383996504595616,-1.0841157617079233,229,0.27945907349963817,0.4412511686836392,,
1R,4R,2,11,0.907388229285539,1.099101052291899,-0.19171282300635994,0.04993596092253338,-3.8391736028424037,229,0.00016191875206612768,0.0012143906404959576,**,4R > 1R
